front_left,front_right,rear_left,rear_right,t
-56.0,49.0,-56.0,49.0,1776886691.938
-56.0,49.0,-56.0,49.0,1776886691.95
-41.0,30.0,-41.0,30.0,1776886692.382
-34.0,21.0,-34.0,21.0,1776886692.392
-34.0,21.0,-34.0,21.0,1776886692.419
-34.0,21.0,-34.0,21.0,1776886692.43
-34.0,21.0,-34.0,21.0,1776886692.456
-17.0,37.0,-17.0,37.0,1776886692.877
-17.0,37.0,-17.0,37.0,1776886692.89
-17.0,37.0,-17.0,37.0,1776886692.916
-17.0,37.0,-17.0,37.0,1776886692.93
-19.0,38.0,-19.0,38.0,1776886692.959
-16.0,39.0,-16.0,39.0,1776886693.37
-16.0,39.0,-16.0,39.0,1776886693.396
-16.0,39.0,-16.0,39.0,1776886693.41
-16.0,39.0,-16.0,39.0,1776886693.444
-15.0,38.0,-15.0,38.0,1776886693.456
-6.0,7.0,-6.0,7.0,1776886693.871
-6.0,7.0,-6.0,7.0,1776886693.896
-6.0,7.0,-6.0,7.0,1776886693.911
-6.0,7.0,-6.0,7.0,1776886693.941
-6.0,2.0,-6.0,2.0,1776886693.951
0.0,0.0,0.0,0.0,1776886694.377
0.0,0.0,0.0,0.0,1776886694.39
0.0,0.0,0.0,0.0,1776886694.416
0.0,0.0,0.0,0.0,1776886694.43
0.0,0.0,0.0,0.0,1776886694.456
18.0,14.0,18.0,14.0,1776886694.893
18.0,14.0,18.0,14.0,1776886694.919
18.0,14.0,18.0,14.0,1776886694.93
18.0,14.0,18.0,14.0,1776886694.961
18.0,14.0,18.0,14.0,1776886694.971
18.0,14.0,18.0,14.0,1776886695.377
18.0,14.0,18.0,14.0,1776886695.391
18.0,14.0,18.0,14.0,1776886695.411
18.0,14.0,18.0,14.0,1776886695.439
18.0,14.0,18.0,14.0,1776886695.45
14.0,18.0,14.0,18.0,1776886696.399
14.0,18.0,14.0,18.0,1776886696.411
14.0,18.0,14.0,18.0,1776886696.437
14.0,18.0,14.0,18.0,1776886696.451
14.0,18.0,14.0,18.0,1776886696.477
40.0,45.0,40.0,45.0,1776886696.89
40.0,45.0,40.0,45.0,1776886696.916
40.0,45.0,40.0,45.0,1776886696.93
40.0,45.0,40.0,45.0,1776886696.95
40.0,45.0,40.0,45.0,1776886696.976
40.0,45.0,40.0,45.0,1776886697.396
40.0,45.0,40.0,45.0,1776886697.41
40.0,45.0,40.0,45.0,1776886697.437
38.0,43.0,38.0,43.0,1776886697.453
38.0,43.0,38.0,43.0,1776886697.479
-16.0,-17.0,-16.0,-17.0,1776886698.39
-24.0,-24.0,-24.0,-24.0,1776886698.423
-24.0,-24.0,-24.0,-24.0,1776886698.434
-24.0,-24.0,-24.0,-24.0,1776886698.451
-24.0,-24.0,-24.0,-24.0,1776886698.477
-62.0,-54.0,-62.0,-54.0,1776886698.897
-76.0,-70.0,-76.0,-70.0,1776886698.911
-76.0,-70.0,-76.0,-70.0,1776886698.938
-76.0,-70.0,-76.0,-70.0,1776886698.951
-76.0,-70.0,-76.0,-70.0,1776886698.976
-81.0,-78.0,-81.0,-78.0,1776886699.391
-81.0,-78.0,-81.0,-78.0,1776886699.417
-81.0,-78.0,-81.0,-78.0,1776886699.432
-76.0,-72.0,-76.0,-72.0,1776886699.458
-76.0,-72.0,-76.0,-72.0,1776886699.471
-49.0,-43.0,-49.0,-43.0,1776886699.891
-49.0,-43.0,-49.0,-43.0,1776886699.919
-37.0,-33.0,-37.0,-33.0,1776886699.931
-37.0,-33.0,-37.0,-33.0,1776886699.956
-37.0,-33.0,-37.0,-33.0,1776886699.971
-53.0,-22.0,-53.0,-22.0,1776886700.912
-53.0,-22.0,-53.0,-22.0,1776886700.939
-53.0,-22.0,-53.0,-22.0,1776886700.951
-53.0,-22.0,-53.0,-22.0,1776886700.976
-66.0,-22.0,-66.0,-22.0,1776886700.991
-105.0,-33.0,-105.0,-33.0,1776886701.391
-105.0,-33.0,-105.0,-33.0,1776886701.416
-105.0,-33.0,-105.0,-33.0,1776886701.431
-105.0,-33.0,-105.0,-33.0,1776886701.457
-105.0,-33.0,-105.0,-33.0,1776886701.471
-118.0,-34.0,-118.0,-34.0,1776886701.918
-118.0,-34.0,-118.0,-34.0,1776886701.937
-106.0,-28.0,-106.0,-28.0,1776886701.951
-106.0,-28.0,-106.0,-28.0,1776886701.977
-106.0,-28.0,-106.0,-28.0,1776886701.991
-71.0,36.0,-71.0,36.0,1776886702.416
-71.0,36.0,-71.0,36.0,1776886702.431
-71.0,36.0,-71.0,36.0,1776886702.458
-71.0,36.0,-71.0,36.0,1776886702.471
-58.0,33.0,-58.0,33.0,1776886702.496
-3.0,30.0,-3.0,30.0,1776886703.416
-3.0,30.0,-3.0,30.0,1776886703.431
-3.0,30.0,-3.0,30.0,1776886703.456
-3.0,30.0,-3.0,30.0,1776886703.472
-3.0,30.0,-3.0,30.0,1776886703.498
-4.0,22.0,-4.0,22.0,1776886703.911
-4.0,22.0,-4.0,22.0,1776886703.939
-3.0,22.0,-3.0,22.0,1776886703.951
-3.0,22.0,-3.0,22.0,1776886703.976
-3.0,22.0,-3.0,22.0,1776886703.991
-23.0,5.0,-23.0,5.0,1776886704.417
-23.0,5.0,-23.0,5.0,1776886704.431
-23.0,5.0,-23.0,5.0,1776886704.457
-23.0,5.0,-23.0,5.0,1776886704.471
-25.0,7.0,-25.0,7.0,1776886704.497
-30.0,14.0,-30.0,14.0,1776886704.911
-30.0,14.0,-30.0,14.0,1776886704.937
-30.0,14.0,-30.0,14.0,1776886704.951
-30.0,14.0,-30.0,14.0,1776886704.976
-30.0,14.0,-30.0,14.0,1776886704.991
-31.0,23.0,-31.0,23.0,1776886705.431
-31.0,23.0,-31.0,23.0,1776886705.456
-31.0,23.0,-31.0,23.0,1776886705.471
-31.0,23.0,-31.0,23.0,1776886705.497
-30.0,24.0,-30.0,24.0,1776886705.511
-13.0,25.0,-13.0,25.0,1776886705.938
-13.0,25.0,-13.0,25.0,1776886705.951
-13.0,25.0,-13.0,25.0,1776886705.978
-13.0,25.0,-13.0,25.0,1776886705.991
-13.0,25.0,-13.0,25.0,1776886706.016
12.0,-23.0,12.0,-23.0,1776886706.431
12.0,-23.0,12.0,-23.0,1776886706.456
12.0,-23.0,12.0,-23.0,1776886706.471
10.0,-22.0,10.0,-22.0,1776886706.497
10.0,-22.0,10.0,-22.0,1776886706.511
9.0,-13.0,9.0,-13.0,1776886706.937
9.0,-13.0,9.0,-13.0,1776886706.951
9.0,-13.0,9.0,-13.0,1776886706.981
9.0,-10.0,9.0,-10.0,1776886706.992
9.0,-10.0,9.0,-10.0,1776886707.018
4.0,-2.0,4.0,-2.0,1776886707.431
4.0,-2.0,4.0,-2.0,1776886707.457
4.0,-1.0,4.0,-1.0,1776886707.471
4.0,-1.0,4.0,-1.0,1776886707.497
4.0,-1.0,4.0,-1.0,1776886707.511
5.0,0.0,5.0,0.0,1776886707.951
5.0,0.0,5.0,0.0,1776886707.977
4.0,0.0,4.0,0.0,1776886707.991
4.0,0.0,4.0,0.0,1776886708.018
4.0,0.0,4.0,0.0,1776886708.031
6.0,0.0,6.0,0.0,1776886708.431
6.0,0.0,6.0,0.0,1776886708.457
6.0,0.0,6.0,0.0,1776886708.471
6.0,0.0,6.0,0.0,1776886708.497
4.0,0.0,4.0,0.0,1776886708.512
1.0,0.0,1.0,0.0,1776886708.959
1.0,0.0,1.0,0.0,1776886708.978
1.0,0.0,1.0,0.0,1776886708.991
1.0,0.0,1.0,0.0,1776886709.017
1.0,0.0,1.0,0.0,1776886709.031
3.0,0.0,3.0,0.0,1776886709.451
1.0,0.0,1.0,0.0,1776886709.477
1.0,0.0,1.0,0.0,1776886709.491
1.0,0.0,1.0,0.0,1776886709.519
1.0,0.0,1.0,0.0,1776886709.531
7.0,9.0,7.0,9.0,1776886709.951
7.0,9.0,7.0,9.0,1776886709.977
19.0,13.0,19.0,13.0,1776886709.992
19.0,13.0,19.0,13.0,1776886710.011
19.0,13.0,19.0,13.0,1776886710.037
52.0,46.0,52.0,46.0,1776886710.451
