step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
45,540,1776901335.568415,270.04828691482544,000045.png,,540,,,1776886934.964,269.6119999885559,,,86.0,0.5099999904632568,100.0,0.0,27.75,1000.0,1000.0,0.0
46,552,1776901341.568693,276.0485649108887,000046.png,,552,,,1776886941.062,275.710000038147,,,299.0,1.9900000095367432,100.0,0.0,28.5,1000.0,1000.0,0.0
47,564,1776901347.568242,282.0481140613556,000047.png,,564,,,1776886947.533,282.18099999427795,,,299.0,0.019999999552965164,100.0,0.0,28.5,1000.0,1000.0,0.0
48,576,1776901353.569077,288.0489490032196,000048.png,,576,,,1776886953.545,288.1930000782013,,,299.0,2.259999990463257,100.0,0.0,28.5,1000.0,1000.0,0.0
49,588,1776901359.570576,294.0504479408264,000049.png,,588,,,1776886959.536,294.1840000152588,,,159.0,0.8899999856948853,100.0,0.0,28.5,1000.0,1000.0,0.0
50,600,1776901365.571121,300.05099296569824,000050.png,,600,,,1776886965.1,299.7479999065399,,,112.0,0.17000000178813934,100.0,0.0,28.5,1000.0,1000.0,0.0
51,612,1776901371.57246,306.0523319244385,000051.png,,613,,,1776886971.576,306.2239999771118,,,17.0,0.009999999776482582,99.0,0.0,27.0,1000.0,1000.0,0.0
52,624,1776901377.573405,312.05327701568604,000052.png,,624,,,1776886977.218,311.8659999370575,,,336.0,0.05999999865889549,100.0,0.0,27.0,1000.0,1000.0,0.0
53,636,1776901383.574582,318.05445408821106,000053.png,,636,,,1776886983.138,317.78600001335144,,,297.0,0.05999999865889549,100.0,0.0,27.5,1000.0,1000.0,0.0
54,648,1776901389.575167,324.0550389289856,000054.png,,648,,,1776886989.183,323.8310000896454,,,334.0,0.27000001072883606,100.0,0.0,27.25,1000.0,1000.0,0.0
