x,y,z,t
-2949.0,3428.0,-4393.0,1776886773.813
-2842.0,3978.0,-5078.0,1776886774.318
-2914.0,3666.0,-4623.0,1776886774.816
-5909.0,2311.0,-4078.0,1776886775.332
-8437.0,1563.0,-3715.0,1776886775.813
-6607.0,896.0,1290.0,1776886776.338
-6307.0,-76.0,220.0,1776886776.832
-5822.0,-861.0,285.0,1776886777.335
-5134.0,-1256.0,187.0,1776886777.821
-5914.0,-584.0,300.0,1776886778.339
-6547.0,-389.0,315.0,1776886778.839
-6374.0,1261.0,642.0,1776886779.352
-5462.0,969.0,1162.0,1776886779.853
-5389.0,1543.0,1035.0,1776886780.36
-6229.0,3901.0,1485.0,1776886780.861
-6087.0,6891.0,745.0,1776886781.353
-5764.0,5426.0,407.0,1776886781.853
-5734.0,6466.0,-165.0,1776886782.861
-4624.0,5806.0,-1163.0,1776886783.359
-7332.0,1201.0,-4015.0,1776886783.855
-8282.0,1656.0,-4393.0,1776886784.353
-8044.0,1866.0,-4318.0,1776886784.854
-7547.0,2363.0,-4308.0,1776886785.353
-8074.0,91.0,-6103.0,1776886785.873
-8012.0,2613.0,-9225.0,1776886786.373
-8092.0,2548.0,-9040.0,1776886786.873
-8084.0,2626.0,-8790.0,1776886787.861
-10312.0,809.0,-9128.0,1776886788.379
-5977.0,526.0,-11765.0,1776886788.879
-6297.0,301.0,-11720.0,1776886789.373
-6319.0,311.0,-11633.0,1776886789.873
-6309.0,471.0,-11708.0,1776886790.393
-6189.0,521.0,-11810.0,1776886790.898
-6262.0,291.0,-11755.0,1776886791.4
-6309.0,231.0,-11648.0,1776886791.899
-6727.0,-231.0,-11698.0,1776886792.399
-6219.0,404.0,-11780.0,1776886792.893
-6474.0,-109.0,-11648.0,1776886793.893
-6844.0,-774.0,-11708.0,1776886794.393
-6562.0,-2804.0,-11588.0,1776886794.895
-6369.0,-5519.0,-10708.0,1776886795.393
-6752.0,-7224.0,-9515.0,1776886795.893
-5222.0,-7219.0,-10138.0,1776886796.393
-5299.0,-6989.0,-10040.0,1776886796.92
-5307.0,-6789.0,-10250.0,1776886797.413
-5642.0,-7014.0,-10320.0,1776886797.919
-5837.0,-6881.0,-10505.0,1776886798.415
-8824.0,-3664.0,-10030.0,1776886799.413
-10049.0,1446.0,-9205.0,1776886800.433
-9904.0,2861.0,-9378.0,1776886800.943
-7874.0,5541.0,-10505.0,1776886801.935
-7967.0,5523.0,-10423.0,1776886802.433
-8152.0,5206.0,-10423.0,1776886802.96
-3829.0,5873.0,-13780.0,1776886803.459
-502.0,6308.0,-11893.0,1776886803.955
-1617.0,4761.0,-9353.0,1776886804.453
-4107.0,6538.0,-13280.0,1776886804.961
3323.0,9751.0,-17035.0,1776886805.462
9818.0,5151.0,-12098.0,1776886805.953
10701.0,91.0,-7853.0,1776886806.461
9233.0,-2331.0,-785.0,1776886806.953
7953.0,-5144.0,5162.0,1776886807.953
3973.0,-4591.0,5917.0,1776886808.453
331.0,-3316.0,642.0,1776886809.473
253.0,-534.0,-2500.0,1776886809.973
3261.0,1083.0,-3893.0,1776886810.481
7033.0,-56.0,-4318.0,1776886810.979
5146.0,-2316.0,-2795.0,1776886811.979
5301.0,-2341.0,-3153.0,1776886812.474
5698.0,-2404.0,-3678.0,1776886812.98
7988.0,706.0,-2800.0,1776886813.973
6278.0,1816.0,-3893.0,1776886814.494
7296.0,3506.0,-2520.0,1776886815.5
3386.0,8921.0,3990.0,1776886816.001
1266.0,6523.0,8015.0,1776886816.499
1256.0,7101.0,7397.0,1776886816.994
1086.0,7138.0,8222.0,1776886817.494
901.0,7143.0,8295.0,1776886817.993
1198.0,6861.0,7222.0,1776886819.013
1091.0,7051.0,7967.0,1776886819.513
-652.0,-851.0,10755.0,1776886820.514
-652.0,-164.0,10105.0,1776886821.02
-1772.0,-5144.0,4265.0,1776886822.015
-1884.0,-5261.0,4197.0,1776886822.514
-1374.0,-4856.0,5010.0,1776886823.014
423.0,-4469.0,5325.0,1776886823.519
1841.0,-4499.0,4632.0,1776886824.034
2603.0,-4699.0,3560.0,1776886824.514
1633.0,-4539.0,4500.0,1776886825.04
-2344.0,-4571.0,4857.0,1776886825.536
-7274.0,-5026.0,117.0,1776886826.034
-9087.0,-5871.0,-8323.0,1776886826.541
-8917.0,-6194.0,-8893.0,1776886827.04
