front_left,front_right,rear_left,rear_right,t
55.0,49.0,55.0,49.0,1776887518.181
45.0,39.0,45.0,39.0,1776887518.192
14.0,9.0,14.0,9.0,1776887518.63
14.0,9.0,14.0,9.0,1776887518.656
14.0,9.0,14.0,9.0,1776887518.67
14.0,9.0,14.0,9.0,1776887518.696
5.0,7.0,5.0,7.0,1776887518.71
25.0,20.0,25.0,20.0,1776887519.13
25.0,20.0,25.0,20.0,1776887519.156
25.0,20.0,25.0,20.0,1776887519.17
25.0,20.0,25.0,20.0,1776887519.199
35.0,30.0,35.0,30.0,1776887519.211
73.0,67.0,73.0,67.0,1776887519.63
73.0,67.0,73.0,67.0,1776887519.656
73.0,67.0,73.0,67.0,1776887519.67
73.0,67.0,73.0,67.0,1776887519.696
73.0,67.0,73.0,67.0,1776887519.71
89.0,83.0,89.0,83.0,1776887520.136
89.0,83.0,89.0,83.0,1776887520.15
89.0,83.0,89.0,83.0,1776887520.177
89.0,83.0,89.0,83.0,1776887520.19
89.0,83.0,89.0,83.0,1776887520.217
12.0,-11.0,12.0,-11.0,1776887521.137
12.0,-11.0,12.0,-11.0,1776887521.15
0.0,-1.0,0.0,-1.0,1776887521.176
0.0,-1.0,0.0,-1.0,1776887521.19
0.0,-1.0,0.0,-1.0,1776887521.217
1.0,-1.0,1.0,-1.0,1776887521.63
1.0,-1.0,1.0,-1.0,1776887521.659
1.0,-1.0,1.0,-1.0,1776887521.67
1.0,-1.0,1.0,-1.0,1776887521.698
1.0,-1.0,1.0,-1.0,1776887521.711
3.0,-10.0,3.0,-10.0,1776887522.137
3.0,-10.0,3.0,-10.0,1776887522.152
3.0,-10.0,3.0,-10.0,1776887522.17
3.0,-10.0,3.0,-10.0,1776887522.196
3.0,-10.0,3.0,-10.0,1776887522.21
7.0,-13.0,7.0,-13.0,1776887522.63
7.0,-13.0,7.0,-13.0,1776887522.656
7.0,-13.0,7.0,-13.0,1776887522.671
7.0,-13.0,7.0,-13.0,1776887522.697
7.0,-13.0,7.0,-13.0,1776887522.71
13.0,-23.0,13.0,-23.0,1776887523.136
13.0,-23.0,13.0,-23.0,1776887523.15
13.0,-23.0,13.0,-23.0,1776887523.177
13.0,-23.0,13.0,-23.0,1776887523.191
13.0,-23.0,13.0,-23.0,1776887523.216
10.0,-17.0,10.0,-17.0,1776887523.63
9.0,-16.0,9.0,-16.0,1776887523.657
9.0,-16.0,9.0,-16.0,1776887523.67
9.0,-16.0,9.0,-16.0,1776887523.7
9.0,-16.0,9.0,-16.0,1776887523.711
5.0,-9.0,5.0,-9.0,1776887524.151
5.0,-9.0,5.0,-9.0,1776887524.177
5.0,-9.0,5.0,-9.0,1776887524.19
1.0,-9.0,1.0,-9.0,1776887524.217
1.0,-9.0,1.0,-9.0,1776887524.23
0.0,0.0,0.0,0.0,1776887524.653
